Datetime,Water Level (m)
2024-07-02 00:00:00,-0.0020087045
2024-07-02 01:00:00,-0.002238932
2024-07-02 02:00:00,-0.0019653975
2024-07-02 03:00:00,-0.0020049294
2024-07-02 04:00:00,-0.0026452374
2024-07-02 05:00:00,-0.0035432747
2024-07-02 06:00:00,-0.003557354
2024-07-02 07:00:00,-0.004355564
2024-07-02 08:00:00,-0.0044415733
2024-07-02 09:00:00,-0.0040102294
2024-07-02 10:00:00,-0.0052451594
2024-07-02 11:00:00,-0.006583338
2024-07-02 12:00:00,-0.007368303
2024-07-02 13:00:00,-0.008063358
2024-07-02 14:00:00,-0.008114692
2024-07-02 15:00:00,-0.006851732
2024-07-02 16:00:00,-0.0054798415
2024-07-02 17:00:00,0.008800608
2024-07-02 18:00:00,0.02038576
2024-07-02 19:00:00,0.030966457
2024-07-02 20:00:00,0.04103442
2024-07-02 21:00:00,0.051181477
2024-07-02 22:00:00,0.06422641
2024-07-02 23:00:00,0.07817361
2024-07-03 00:00:00,0.09186331
2024-07-03 01:00:00,0.11000809
2024-07-03 02:00:00,0.12997293
2024-07-03 03:00:00,0.1431821
2024-07-03 04:00:00,0.15364687
2024-07-03 05:00:00,0.16308023
2024-07-03 06:00:00,0.17280003
2024-07-03 07:00:00,0.18304728
2024-07-03 08:00:00,0.1932415
2024-07-03 09:00:00,0.20346557
2024-07-03 10:00:00,0.21478336
2024-07-03 11:00:00,0.22851601
2024-07-03 12:00:00,0.24407011
2024-07-03 13:00:00,0.26025522
2024-07-03 14:00:00,0.27728057
2024-07-03 15:00:00,0.2931587
2024-07-03 16:00:00,0.30715385
2024-07-03 17:00:00,0.32038903
2024-07-03 18:00:00,0.33264118
2024-07-03 19:00:00,0.3438514
2024-07-03 20:00:00,0.35561576
2024-07-03 21:00:00,0.3681526
2024-07-03 22:00:00,0.38140136
2024-07-03 23:00:00,0.39630297
2024-07-04 00:00:00,0.4111728
2024-07-04 01:00:00,0.4256085
2024-07-04 02:00:00,0.44060546
2024-07-04 03:00:00,0.45469907
2024-07-04 04:00:00,0.46815047
2024-07-04 05:00:00,0.48175797
2024-07-04 06:00:00,0.4943733
2024-07-04 07:00:00,0.50589746
2024-07-04 08:00:00,0.51918787
2024-07-04 09:00:00,0.53365004
2024-07-04 10:00:00,0.548412
2024-07-04 11:00:00,0.56422126
2024-07-04 12:00:00,0.5810988
2024-07-04 13:00:00,0.5996889
2024-07-04 14:00:00,0.6188598
2024-07-04 15:00:00,0.6372086
2024-07-04 16:00:00,0.6552394
2024-07-04 17:00:00,0.6729647
2024-07-04 18:00:00,0.6896183
2024-07-04 19:00:00,0.704741
2024-07-04 20:00:00,0.7189686
2024-07-04 21:00:00,0.7334342
2024-07-04 22:00:00,0.74816585
2024-07-04 23:00:00,0.76386476
2024-07-05 00:00:00,0.78061086
2024-07-05 01:00:00,0.7973858
2024-07-05 02:00:00,0.81403023
2024-07-05 03:00:00,0.83052033
2024-07-05 04:00:00,0.84634
2024-07-05 05:00:00,0.8613656
2024-07-05 06:00:00,0.8750062
2024-07-05 07:00:00,0.8870883
2024-07-05 08:00:00,0.8984449
2024-07-05 09:00:00,0.9099598
2024-07-05 10:00:00,0.92295396
2024-07-05 11:00:00,0.9378233
2024-07-05 12:00:00,0.9548951
2024-07-05 13:00:00,0.97240365
2024-07-05 14:00:00,0.9902599
2024-07-05 15:00:00,1.0082661
2024-07-05 16:00:00,1.0261945
2024-07-05 17:00:00,1.0502919
2024-07-05 18:00:00,1.1054064
2024-07-05 19:00:00,1.1820682
2024-07-05 20:00:00,1.2357941
2024-07-05 21:00:00,1.2823107
2024-07-05 22:00:00,1.32297
2024-07-05 23:00:00,1.3599626
2024-07-06 00:00:00,1.3952962
2024-07-06 01:00:00,1.427813
2024-07-06 02:00:00,1.4577777
2024-07-06 03:00:00,1.4857022
2024-07-06 04:00:00,1.5116584
2024-07-06 05:00:00,1.5356597
2024-07-06 06:00:00,1.5576174
2024-07-06 07:00:00,1.577377
2024-07-06 08:00:00,1.5950822
2024-07-06 09:00:00,1.6114012
2024-07-06 10:00:00,1.6277142
2024-07-06 11:00:00,1.6449038
2024-07-06 12:00:00,1.6631889
2024-07-06 13:00:00,1.6828539
2024-07-06 14:00:00,1.7025791
2024-07-06 15:00:00,1.722546
2024-07-06 16:00:00,1.740072
2024-07-06 17:00:00,1.7568872
2024-07-06 18:00:00,1.7729249
2024-07-06 19:00:00,1.7879919
2024-07-06 20:00:00,1.8019468
2024-07-06 21:00:00,1.8145435
2024-07-06 22:00:00,1.826266
2024-07-06 23:00:00,1.8378978
2024-07-07 00:00:00,1.8504469
2024-07-07 01:00:00,1.8640959
2024-07-07 02:00:00,1.8781677
2024-07-07 03:00:00,1.8921009
2024-07-07 04:00:00,1.905753
2024-07-07 05:00:00,1.918721
2024-07-07 06:00:00,1.930739
2024-07-07 07:00:00,1.9414138
2024-07-07 08:00:00,1.9510334
2024-07-07 09:00:00,1.9606204
2024-07-07 10:00:00,1.9696473
2024-07-07 11:00:00,1.9792532
2024-07-07 12:00:00,1.9904186
2024-07-07 13:00:00,2.0027893
2024-07-07 14:00:00,2.016475
2024-07-07 15:00:00,2.0309517
2024-07-07 16:00:00,2.0453043
2024-07-07 17:00:00,2.0587559
2024-07-07 18:00:00,2.0713112
2024-07-07 19:00:00,2.0825512
2024-07-07 20:00:00,2.0935888
2024-07-07 21:00:00,2.1023433
2024-07-07 22:00:00,2.1104927
2024-07-07 23:00:00,2.118573
2024-07-08 00:00:00,2.1269145
